"Model","Group","Parameter","Mean","SD","Rhat","n_eff"
"EEF","HC","mu_cons",0.288,0.136,1.001,7600
"EEF","HC","mu_lambda",0.207,0.175,1.001,13000
"EEF","HC","mu_phi",0.774,0.377,1.001,8900
"EEF","HC","mu_theta",0.13,0.125,1.001,3800
"EEF","Amph","mu_cons",0.218,0.118,1.001,7000
"EEF","Amph","mu_lambda",0.178,0.174,1.001,18000
"EEF","Amph","mu_phi",1.303,0.665,1.001,7700
"EEF","Amph","mu_theta",0.196,0.185,1.002,2200
"EEF","Hero","mu_cons",0.312,0.122,1.004,1100
"EEF","Hero","mu_lambda",0.335,0.248,1.008,280
"EEF","Hero","mu_phi",0.675,0.841,1.003,1000
"EEF","Hero","mu_theta",0.054,0.047,1.002,3400
"ORL","HC","mu_K",0.611,0.384,1.005,580
"ORL","HC","mu_a_pun",0.027,0.015,1.005,500
"ORL","HC","mu_a_rew",0.064,0.039,1.001,24000
"ORL","HC","mu_omega_f",1.499,0.36,1.002,2600
"ORL","HC","mu_omega_p",-0.795,0.442,1.016,150
"ORL","Amph","mu_K",0.631,0.313,1.004,24000
"ORL","Amph","mu_a_pun",0.012,0.009,1.001,8900
"ORL","Amph","mu_a_rew",0.068,0.037,1.001,4500
"ORL","Amph","mu_omega_f",2.118,0.325,1.001,4100
"ORL","Amph","mu_omega_p",-1.274,0.498,1.001,11000
"ORL","Hero","mu_K",0.483,0.336,1.001,9200
"ORL","Hero","mu_a_pun",0.01,0.008,1.001,13000
"ORL","Hero","mu_a_rew",0.106,0.047,1.001,24000
"ORL","Hero","mu_omega_f",1.424,0.251,1.001,22000
"ORL","Hero","mu_omega_p",-0.566,0.58,1.002,1400
"PVL_DELTA","HC","mu_A",0.686,0.036,1.016,170
"PVL_DELTA","HC","mu_a",0.08,0.029,1.002,2400
"PVL_DELTA","HC","mu_theta",0.03,0.018,1.001,3800
"PVL_DELTA","HC","mu_w",0.595,0.13,1.003,810
"PVL_DELTA","Amph","mu_A",0.875,0.046,1.001,3700
"PVL_DELTA","Amph","mu_a",0.052,0.012,1.003,1200
"PVL_DELTA","Amph","mu_theta",0.021,0.013,1.001,4700
"PVL_DELTA","Amph","mu_w",0.475,0.094,1.001,15000
"PVL_DELTA","Hero","mu_A",0.63,0.039,1.072,33
"PVL_DELTA","Hero","mu_a",0.475,0.091,1.004,570
"PVL_DELTA","Hero","mu_theta",0.026,0.017,1.002,1500
"PVL_DELTA","Hero","mu_w",0.049,0.044,1.004,600
